id,province_id,name,alt_name,latitude,longitude,province_name,display_name
1101,11,KABUPATEN SIMEULUE,KABUPATEN SIMEULUE,2.61667,96.08333,Aceh,Simeulue
1102,11,KABUPATEN ACEH SINGKIL,KABUPATEN ACEH SINGKIL,2.41667,97.91667,Aceh,Aceh Singkil
1103,11,KABUPATEN ACEH SELATAN,KABUPATEN ACEH SELATAN,3.16667,97.41667,Aceh,Aceh Selatan
1104,11,KABUPATEN ACEH TENGGARA,KABUPATEN ACEH TENGGARA,3.36667,97.7,Aceh,Aceh Tenggara
1105,11,KABUPATEN ACEH TIMUR,KABUPATEN ACEH TIMUR,4.63333,97.63333,Aceh,Aceh Timur
1106,11,KABUPATEN ACEH TENGAH,KABUPATEN ACEH TENGAH,4.51,96.855,Aceh,Aceh Tengah
1107,11,KABUPATEN ACEH BARAT,KABUPATEN ACEH BARAT,4.45,96.16667,Aceh,Aceh Barat
1108,11,KABUPATEN ACEH BESAR,KABUPATEN ACEH BESAR,5.38333,95.51667,Aceh,Aceh Besar
1109,11,KABUPATEN PIDIE,KABUPATEN PIDIE,5.08,96.11,Aceh,Pidie
1110,11,KABUPATEN BIREUEN,KABUPATEN BIREUEN,5.08333,96.58333,Aceh,Bireuen
1111,11,KABUPATEN ACEH UTARA,KABUPATEN ACEH UTARA,4.97,97.14,Aceh,Aceh Utara
1112,11,KABUPATEN ACEH BARAT DAYA,KABUPATEN ACEH BARAT DAYA,3.83333,96.88333,Aceh,Aceh Barat Daya
1113,11,KABUPATEN GAYO LUES,KABUPATEN GAYO LUES,3.95,97.39,Aceh,Gayo Lues
1114,11,KABUPATEN ACEH TAMIANG,KABUPATEN ACEH TAMIANG,4.25,97.96667,Aceh,Aceh Tamiang
1115,11,KABUPATEN NAGAN RAYA,KABUPATEN NAGAN RAYA,4.16667,96.51667,Aceh,Nagan Raya
1116,11,KABUPATEN ACEH JAYA,KABUPATEN ACEH JAYA,4.86,95.64,Aceh,Aceh Jaya
1117,11,KABUPATEN BENER MERIAH,KABUPATEN BENER MERIAH,4.73015,96.86156,Aceh,Bener Meriah
1118,11,KABUPATEN PIDIE JAYA,KABUPATEN PIDIE JAYA,5.15,96.21667,Aceh,Pidie Jaya
1171,11,KOTA BANDA ACEH,KOTA BANDA ACEH,5.54167,95.33333,Aceh,Kota Banda Aceh
1172,11,KOTA SABANG,KOTA SABANG,5.82164,95.31086,Aceh,Kota Sabang
1173,11,KOTA LANGSA,KOTA LANGSA,4.47,97.93,Aceh,Kota Langsa
1174,11,KOTA LHOKSEUMAWE,KOTA LHOKSEUMAWE,5.13333,97.06667,Aceh,Kota Lhokseumawe
1175,11,KOTA SUBULUSSALAM,KOTA SUBULUSSALAM,2.75,97.93333,Aceh,Kota Subulussalam
1201,12,KABUPATEN NIAS,KABUPATEN NIAS,1.03333,97.76667,Sumatera Utara,Nias
1202,12,KABUPATEN MANDAILING NATAL,KABUPATEN MANDAILING NATAL,0.78378,99.25495,Sumatera Utara,Mandailing Natal
1203,12,KABUPATEN TAPANULI SELATAN,KABUPATEN TAPANULI SELATAN,1.51667,99.25,Sumatera Utara,Tapanuli Selatan
1204,12,KABUPATEN TAPANULI TENGAH,KABUPATEN TAPANULI TENGAH,1.9,98.66667,Sumatera Utara,Tapanuli Tengah
1205,12,KABUPATEN TAPANULI UTARA,KABUPATEN TAPANULI UTARA,2.0028,99.0707,Sumatera Utara,Tapanuli Utara
1206,12,KABUPATEN TOBA SAMOSIR,KABUPATEN TOBA SAMOSIR,2.39793,99.21678,Sumatera Utara,Toba Samosir
1207,12,KABUPATEN LABUHAN BATU,KABUPATEN LABUHAN BATU,2.26667,100.1,Sumatera Utara,Labuhan Batu
1208,12,KABUPATEN ASAHAN,KABUPATEN ASAHAN,2.78333,99.55,Sumatera Utara,Asahan
1209,12,KABUPATEN SIMALUNGUN,KABUPATEN SIMALUNGUN,2.9,99.0,Sumatera Utara,Simalungun
1210,12,KABUPATEN DAIRI,KABUPATEN DAIRI,2.86667,98.23333,Sumatera Utara,Dairi
1211,12,KABUPATEN KARO,KABUPATEN KARO,3.11667,98.3,Sumatera Utara,Karo
1212,12,KABUPATEN DELI SERDANG,KABUPATEN DELI SERDANG,3.41667,98.66667,Sumatera Utara,Deli Serdang
1213,12,KABUPATEN LANGKAT,KABUPATEN LANGKAT,3.71667,98.21667,Sumatera Utara,Langkat
1214,12,KABUPATEN NIAS SELATAN,KABUPATEN NIAS SELATAN,0.77,97.75,Sumatera Utara,Nias Selatan
1215,12,KABUPATEN HUMBANG HASUNDUTAN,KABUPATEN HUMBANG HASUNDUTAN,2.26551,98.50376,Sumatera Utara,Humbang Hasundutan
1216,12,KABUPATEN PAKPAK BHARAT,KABUPATEN PAKPAK BHARAT,2.56667,98.28333,Sumatera Utara,Pakpak Bharat
1217,12,KABUPATEN SAMOSIR,KABUPATEN SAMOSIR,2.64025,98.71525,Sumatera Utara,Samosir
1218,12,KABUPATEN SERDANG BEDAGAI,KABUPATEN SERDANG BEDAGAI,3.36667,99.03333,Sumatera Utara,Serdang Bedagai
1219,12,KABUPATEN BATU BARA,KABUPATEN BATU BARA,3.16166,99.52652,Sumatera Utara,Batu Bara
1220,12,KABUPATEN PADANG LAWAS UTARA,KABUPATEN PADANG LAWAS UTARA,1.46011,99.67346,Sumatera Utara,Padang Lawas Utara
1221,12,KABUPATEN PADANG LAWAS,KABUPATEN PADANG LAWAS,1.44684,99.99207,Sumatera Utara,Padang Lawas
1222,12,KABUPATEN LABUHAN BATU SELATAN,KABUPATEN LABUHAN BATU SELATAN,1.983,100.0976,Sumatera Utara,Labuhan Batu Selatan
1223,12,KABUPATEN LABUHAN BATU UTARA,KABUPATEN LABUHAN BATU UTARA,2.33349,99.63776,Sumatera Utara,Labuhan Batu Utara
1224,12,KABUPATEN NIAS UTARA,KABUPATEN NIAS UTARA,1.33037,97.31964,Sumatera Utara,Nias Utara
1225,12,KABUPATEN NIAS BARAT,KABUPATEN NIAS BARAT,1.05966,97.58606,Sumatera Utara,Nias Barat
1271,12,KOTA SIBOLGA,KOTA SIBOLGA,1.73333,98.8,Sumatera Utara,Kota Sibolga
1272,12,KOTA TANJUNG BALAI,KOTA TANJUNG BALAI,2.95833,99.79167,Sumatera Utara,Kota Tanjung Balai
1273,12,KOTA PEMATANG SIANTAR,KOTA PEMATANG SIANTAR,2.96667,99.05,Sumatera Utara,Kota Pematang Siantar
1274,12,KOTA TEBING TINGGI,KOTA TEBING TINGGI,3.325,99.14167,Sumatera Utara,Kota Tebing Tinggi
1275,12,KOTA MEDAN,KOTA MEDAN,3.65,98.66667,Sumatera Utara,Kota Medan
1276,12,KOTA BINJAI,KOTA BINJAI,3.8,108.23333,Sumatera Utara,Kota Binjai
1277,12,KOTA PADANG SIDEMPUAN,KOTA PADANG SIDEMPUAN,1.37375,99.26843,Sumatera Utara,Kota Padang Sidempuan
1278,12,KOTA GUNUNGSITOLI,KOTA GUNUNGSITOLI,1.32731,97.55018,Sumatera Utara,Kota Gunungsitoli
1301,13,KABUPATEN KEPULAUAN MENTAWAI,KABUPATEN KEPULAUAN MENTAWAI,1.98917,99.51889,Sumatera Barat,Kepulauan Mentawai
1302,13,KABUPATEN PESISIR SELATAN,KABUPATEN PESISIR SELATAN,-1.58333,100.85,Sumatera Barat,Pesisir Selatan
1303,13,KABUPATEN SOLOK,KABUPATEN SOLOK,-0.96667,100.81667,Sumatera Barat,Solok
1304,13,KABUPATEN SIJUNJUNG,KABUPATEN SIJUNJUNG,-1.1827,101.6056,Sumatera Barat,Sijunjung
1305,13,KABUPATEN TANAH DATAR,KABUPATEN TANAH DATAR,-0.4555,100.5771,Sumatera Barat,Tanah Datar
1306,13,KABUPATEN PADANG PARIAMAN,KABUPATEN PADANG PARIAMAN,-0.6,100.28333,Sumatera Barat,Padang Pariaman
1307,13,KABUPATEN AGAM,KABUPATEN AGAM,-0.25,100.16667,Sumatera Barat,Agam
1308,13,KABUPATEN LIMA PULUH KOTA,KABUPATEN LIMA PULUH KOTA,-0.0168,100.5872,Sumatera Barat,Lima Puluh Kota
1309,13,KABUPATEN PASAMAN,KABUPATEN PASAMAN,0.42503,99.94606,Sumatera Barat,Pasaman
