kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,regency_id,faktor_dominan,fi_Melahirkan Tidak di Faskes,fi_Kemiskinan,fi_Konsumsi Protein,fi_Pangan Hewani,fi_RLS,stunting_pred_gwrf,residual_gwrf,skor_prioritas,skor_prioritas_100,rank_prioritas,kategori_stunting
Simeulue,Aceh,18.4,0.08,17.69,53.1,49.38,9.89,96.08623173507992,2.6128618719394243,1101,RLS,0.15401159142848794,0.16451428037312246,0.22643025357303886,0.2032557234894791,0.2517881511358717,19.348101323896675,-0.948101323896676,0.15299240902454708,42.3538299523693,152,Sedang
Aceh Singkil,Aceh,23.6,0.18,19.06,61.5,56.59,8.72,97.8450711416352,2.3479856909639154,1102,Kemiskinan,0.21780382648735702,0.23352705109164903,0.2168008710134245,0.14947737364926417,0.18239087775830526,13.360063481668803,10.239936518331199,0.6551732885766495,54.896639977257955,59,Tinggi
Aceh Selatan,Aceh,28.1,0.04,12.02,57.8,51.63,8.92,97.43645538193392,3.162014322475823,1103,Pangan Hewani,0.23109979736692401,0.21421548321895129,0.15929958294641033,0.23170731933733885,0.16367781713037535,26.883206125981822,1.2167938740181796,0.692198721956973,55.821412297129584,52,Tinggi
Aceh Tenggara,Aceh,22.8,0.16,11.99,62.3,49.52,10.1,97.6975862650565,3.368996786453805,1104,RLS,0.21659469513928864,0.17577554472373405,0.17882460579761475,0.20006948096101476,0.2287356733783479,16.259990634637525,6.540009365362476,0.2992014421184101,46.0056458631117,119,Tinggi
Aceh Timur,Aceh,28.0,0.14,13.26,58.7,52.3,8.48,97.62609089939502,4.6305590803259005,1105,Kemiskinan,0.2215515456984226,0.2336622032371665,0.19414388508250272,0.1537679186115012,0.19687444737040705,29.010476397880606,-1.0104763978806055,0.829282383594166,59.24530674521168,37,Tinggi
Aceh Tengah,Aceh,21.6,0.09,14.27,62.1,43.48,10.03,96.8812588942553,4.51995591055065,1106,Kemiskinan,0.17094254577103732,0.23807925444340497,0.1882486606813943,0.1767065737841165,0.22602296532004698,22.175122828609844,-0.5751228286098424,0.3379211785872921,46.9727362453184,112,Tinggi
Aceh Barat,Aceh,20.2,0.0,17.6,63.7,56.09,9.99,96.18088578532738,4.454513742896919,1107,RLS,0.15255989995415944,0.18321913668732978,0.2062505536928088,0.2078673728301343,0.2501030368355676,16.5828200815996,3.6171799184003994,0.12084886048250486,41.55099089715037,164,Tinggi
Aceh Besar,Aceh,26.8,0.01,13.21,61.5,54.4,10.37,95.51515076080264,5.380157563413453,1108,Pangan Hewani,0.1445968360623345,0.20568199165283776,0.1936614402047296,0.24920189228118245,0.20685783979891548,22.82439806688874,3.9756019331112604,0.4294167717758527,49.25799219632589,94,Tinggi
Pidie,Aceh,26.4,0.0,18.59,55.0,43.36,9.04,96.0333848601126,5.053666108073628,1109,RLS,0.19464680847333382,0.1792593653063668,0.20919156160203478,0.20406189238400044,0.21284037223426422,27.199121320466322,-0.7991213204663232,0.8717828900020341,60.306828200012795,34,Tinggi
Bireuen,Aceh,21.8,0.05,12.1,57.6,51.55,9.59,96.60704146541488,5.093843082938084,1110,RLS,0.13260085986752423,0.20297105325474557,0.22744151621216907,0.19909047938219157,0.23789609128336958,34.067868700427255,-12.267868700427254,0.18581639439373426,43.17366405898173,145,Tinggi
