id,province_id,name,alt_name,latitude,longitude,province_name,display_name,is_kota_flag,name_norm
1112,11,KABUPATEN ACEH BARAT DAYA,KABUPATEN ACEH BARAT DAYA,3.83333,96.88333,Aceh,Aceh Barat Daya,False,ACEH BARAT DAYA
1201,12,KABUPATEN NIAS,KABUPATEN NIAS,1.03333,97.76667,Sumatera Utara,Nias,False,NIAS
1206,12,KABUPATEN TOBA SAMOSIR,KABUPATEN TOBA SAMOSIR,2.39793,99.21678,Sumatera Utara,Toba Samosir,False,TOBA SAMOSIR
1211,12,KABUPATEN KARO,KABUPATEN KARO,3.11667,98.3,Sumatera Utara,Karo,False,KARO
1212,12,KABUPATEN DELI SERDANG,KABUPATEN DELI SERDANG,3.41667,98.66667,Sumatera Utara,Deli Serdang,False,DELI SERDANG
1213,12,KABUPATEN LANGKAT,KABUPATEN LANGKAT,3.71667,98.21667,Sumatera Utara,Langkat,False,LANGKAT
1219,12,KABUPATEN BATU BARA,KABUPATEN BATU BARA,3.16166,99.52652,Sumatera Utara,Batu Bara,False,BATU BARA
1220,12,KABUPATEN PADANG LAWAS UTARA,KABUPATEN PADANG LAWAS UTARA,1.46011,99.67346,Sumatera Utara,Padang Lawas Utara,False,PADANG LAWAS UTARA
1221,12,KABUPATEN PADANG LAWAS,KABUPATEN PADANG LAWAS,1.44684,99.99207,Sumatera Utara,Padang Lawas,False,PADANG LAWAS
1222,12,KABUPATEN LABUHAN BATU SELATAN,KABUPATEN LABUHAN BATU SELATAN,1.983,100.0976,Sumatera Utara,Labuhan Batu Selatan,False,LABUHAN BATU SELATAN
1223,12,KABUPATEN LABUHAN BATU UTARA,KABUPATEN LABUHAN BATU UTARA,2.33349,99.63776,Sumatera Utara,Labuhan Batu Utara,False,LABUHAN BATU UTARA
1224,12,KABUPATEN NIAS UTARA,KABUPATEN NIAS UTARA,1.33037,97.31964,Sumatera Utara,Nias Utara,False,NIAS UTARA
1271,12,KOTA SIBOLGA,KOTA SIBOLGA,1.73333,98.8,Sumatera Utara,Kota Sibolga,True,SIBOLGA
1274,12,KOTA TEBING TINGGI,KOTA TEBING TINGGI,3.325,99.14167,Sumatera Utara,Kota Tebing Tinggi,True,TEBING TINGGI
1275,12,KOTA MEDAN,KOTA MEDAN,3.65,98.66667,Sumatera Utara,Kota Medan,True,MEDAN
1310,13,KABUPATEN SOLOK SELATAN,KABUPATEN SOLOK SELATAN,-1.23333,101.417,Sumatera Barat,Solok Selatan,False,SOLOK SELATAN
1403,14,KABUPATEN INDRAGIRI HILIR,KABUPATEN INDRAGIRI HILIR,-0.33333,103.16667,Riau,Indragiri Hilir,False,INDRAGIRI HILIR
1404,14,KABUPATEN PELALAWAN,KABUPATEN PELALAWAN,0.20822,102.18607,Riau,Pelalawan,False,PELALAWAN
1406,14,KABUPATEN KAMPAR,KABUPATEN KAMPAR,0.2344,101.2131,Riau,Kampar,False,KAMPAR
1501,15,KABUPATEN KERINCI,KABUPATEN KERINCI,-2.03333,101.53333,Jambi,Kerinci,False,KERINCI
1504,15,KABUPATEN BATANG HARI,KABUPATEN BATANG HARI,-1.75,103.11667,Jambi,Batang Hari,False,BATANG HARI
1505,15,KABUPATEN MUARO JAMBI,KABUPATEN MUARO JAMBI,-1.55214,103.82163,Jambi,Muaro Jambi,False,MUARO JAMBI
1509,15,KABUPATEN BUNGO,KABUPATEN BUNGO,-1.50222,101.96,Jambi,Bungo,False,BUNGO
1606,16,KABUPATEN MUSI BANYU ASIN,KABUPATEN MUSI BANYU ASIN,-2.41667,103.75,Sumatera Selatan,Musi Banyu Asin,False,MUSI BANYU ASIN
1607,16,KABUPATEN BANYU ASIN,KABUPATEN BANYU ASIN,-2.88333,104.38306,Sumatera Selatan,Banyu Asin,False,BANYU ASIN
1609,16,KABUPATEN OGAN KOMERING ULU TIMUR,KABUPATEN OGAN KOMERING ULU TIMUR,-3.85679,104.75209,Sumatera Selatan,Ogan Komering Ulu Timur,False,OGAN KOMERING ULU TIMUR
1613,16,KABUPATEN MUSI RAWAS UTARA,KABUPATEN MUSI RAWAS UTARA,-2.48533,103.29346,Sumatera Selatan,Musi Rawas Utara,False,MUSI RAWAS UTARA
1673,16,KOTA PAGAR ALAM,KOTA PAGAR ALAM,-4.13055,103.26822,Sumatera Selatan,Kota Pagar Alam,True,PAGAR ALAM
